,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030,031,032,033,034,035,036,037,038,039,040,041,042,043,044,045,046,047,048,049,050,051,052,053,054,055,056,057,058,059,060,061,062,063,064,065,066,067,068,069,070,071,072,073,074,075,076,077,078,079,080,081,082,083,084,085,086,087,088,089,090,091,092,093,094,095,096,097,098,099,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135
011,1311842 ,700 ,7260392 ,492830 ,154216 ,0 ,0 ,0 ,0 ,0 ,1329038 ,2691017 ,290637 ,34126 ,24983 ,126516 ,1432922 ,2583687 ,5429 ,428719 ,2425826 ,2327811 ,139862 ,0 ,8172 ,0 ,0 ,5764 ,0 ,547 ,0 ,34651 ,1964 ,50214 ,0 ,228 ,0 ,0 ,0 ,6842 ,10076 ,3339 ,0 ,46702 ,0 ,31273 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,72 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2836 ,31 ,468 ,551 ,5947 ,0 ,0 ,7935 ,0 ,0 ,0 ,0 ,72076 ,0 ,2371778 ,0 ,0 ,0 ,0 ,0 ,0 ,15983 ,0 ,0 ,0 ,0 ,0 ,0 ,64931 ,0 ,98026 ,0 ,567 ,20208 ,0 ,0 ,0 ,122 ,56616 ,0 
012,1011122 ,2969 ,30170236 ,4905617 ,426221 ,0 ,0 ,0 ,0 ,0 ,0 ,1586006 ,0 ,0 ,417329 ,248474 ,0 ,0 ,0 ,0 ,2408 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1096 ,0 ,0 ,9943 ,34876 ,16661 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,30873 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
013,109191 ,8217 ,784499 ,92815 ,119414 ,832 ,587 ,379 ,247 ,860 ,277272 ,2220250 ,8829540 ,19266 ,539141 ,477329 ,1646740 ,756322 ,140276 ,295169 ,1956157 ,103328 ,139173 ,0 ,128679 ,17978 ,27412 ,43204 ,69227 ,25226 ,522052 ,156893 ,0 ,14113 ,0 ,18947 ,259 ,40 ,307172 ,3150 ,53865 ,828258 ,39344 ,1045559 ,1003664 ,896821 ,0 ,3189 ,23616 ,2466 ,1284 ,3457 ,1150 ,4895 ,766 ,605 ,819 ,665 ,6149 ,1068 ,0 ,0 ,5747 ,383 ,480 ,327 ,993 ,3597 ,59 ,45 ,21 ,3528 ,75 ,1477 ,1781 ,385 ,17 ,44 ,57 ,21 ,28 ,27713 ,4827 ,50432 ,0 ,13240 ,2585 ,9404 ,6704 ,114526 ,1339 ,3933 ,172 ,105 ,27108 ,2347 ,2878 ,476 ,558 ,2839 ,0 ,0 ,11697 ,0 ,0 ,0 ,0 ,248240 ,0 ,4968749 ,0 ,0 ,0 ,66 ,3234 ,1210 ,13493 ,753 ,235 ,128 ,99 ,9798 ,16746 ,14137 ,19794 ,314753 ,9641 ,4781 ,18184 ,0 ,6868 ,3920 ,1943 ,8687 ,212886 
014,216 ,9 ,185 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,598782 ,31836 ,63583 ,621970 ,60043 ,265566 ,156658 ,959622 ,136342 ,1636215 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,15 ,6 ,7750 ,1829 ,883 ,946 ,1098 ,2144 ,22345 ,245140 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,54 ,84 ,57 ,140 ,510 ,0 ,0 ,0 ,0 ,14 ,283 ,51 ,74 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,27 ,47 ,0 ,750 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,153313 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,27950 ,0 ,0 ,44 ,0 ,0 ,0 ,27 ,2614 ,0 
015,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,298554 ,0 ,0 ,4452350 ,207173 ,246965 ,390938 ,30701 ,67197 ,715170 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7920095 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1836 ,2131 ,94823 ,301457 ,49803 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,66227 ,0 ,0 ,0 ,0 ,0 ,6394 ,0 ,0 ,3828 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,26922 ,0 ,7372684 ,0 ,0 ,0 ,0 ,0 ,0 ,1686 ,0 ,0 ,0 ,0 ,23070 ,0 ,22936 ,0 ,0 ,0 ,0 ,965 ,0 ,0 ,0 ,0 ,28813 ,0 
016,0 ,0 ,5193 ,16106 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2225497 ,0 ,0 ,0 ,2415280 ,202146 ,48708 ,32647 ,83576 ,426218 ,22683 ,24378 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1266 ,1469 ,2321 ,475 ,63762 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,342513 ,302 ,0 ,0 ,0 ,0 ,2041 ,0 ,0 ,546 ,0 ,0 ,0 ,2295 ,0 ,0 ,0 ,0 ,8265 ,0 ,8168997 ,0 ,0 ,0 ,0 ,17429 ,956 ,23199 ,5143 ,0 ,0 ,0 ,1179 ,2015 ,12412 ,17378 ,45957 ,6183 ,382 ,146 ,0 ,5720 ,3265 ,292 ,75759 ,0 
017,0 ,0 ,0 ,0 ,39298 ,0 ,0 ,0 ,0 ,0 ,0 ,1677740 ,203624 ,10897 ,703601 ,456845 ,1903103 ,503475 ,117514 ,447835 ,1701979 ,278367 ,717899 ,2394 ,43412 ,5473 ,7545 ,17140 ,21073 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,75591 ,14502 ,2007 ,70038 ,32690 ,667667 ,7625 ,95 ,410 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,34857 ,402 ,0 ,0 ,0 ,0 ,34585 ,40611 ,4803 ,24647 ,351076 ,0 ,1126 ,304 ,0 ,0 ,10748 ,0 ,151377 ,79469 ,3548624 ,0 ,0 ,0 ,0 ,419878 ,5660 ,16178 ,4355 ,1357 ,1011 ,778 ,7522 ,12857 ,47335 ,66275 ,363538 ,12632 ,1205 ,460 ,0 ,13836 ,7897 ,447 ,60963 ,0 
018,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,326624 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,103469 ,47192 ,0 ,80060 ,66002 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,549490 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,23325 ,0 
019,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,109121 ,0 ,0 ,0 ,155514 ,30879 ,1896812 ,22262 ,825871 ,21397 ,1004950 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,15 ,7 ,0 ,0 ,0 ,0 ,1275 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,15 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,255 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,655918 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,27350 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,48487 ,0 
020,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,94582 ,46264 ,1779 ,210693 ,112066 ,166856 ,533290 ,44957 ,946073 ,434640 ,132224 ,39439 ,399 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2961 ,394 ,2176 ,444 ,951 ,4304 ,374 ,52909 ,0 ,0 ,532 ,116 ,87 ,126 ,420 ,0 ,45 ,0 ,66 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,9285 ,112 ,0 ,0 ,0 ,0 ,638 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1775031 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
