"","883028.WI","883023.WI","883111.WI","883112.WI","883113.WI","883114.WI","883115.WI","883116.WI","883117.WI","883118.WI","883119.WI","883120.WI","883121.WI","883122.WI","883123.WI","883124.WI","883125.WI","883126.WI","883127.WI","883128.WI","883129.WI","883130.WI","883131.WI","883132.WI","883133.WI","883134.WI","883135.WI","883136.WI","883137.WI","883138.WI","883139.WI","883140.WI","883141.WI","883142.WI","883143.WI","883144.WI","883145.WI","883146.WI","883147.WI","883148.WI","883149.WI","883150.WI","883151.WI","883152.WI","883153.WI","883154.WI","883155.WI","883158.WI","883159.WI","883160.WI","883161.WI","883162.WI","883163.WI","883164.WI","883165.WI","883166.WI","883167.WI","883169.WI","883170.WI","883171.WI","883172.WI","883175.WI","883176.WI","883177.WI","883178.WI","883180.WI","883181.WI","883182.WI","883183.WI","883185.WI","883186.WI","883187.WI","883189.WI"
"883171.WI",118802.7211,331560.8578,70406.832559,42560.928662,41832.6012,46845.467721,67642.600688,23582.76048,41976.56314,20616.46312,37878.96698,20071.97873,41660.38178,248100.152463,174329.08476,22720.29564,7677.058189,61334.64591,168496.753525,330423.28895,94765.09044,100837.0605,146990.401756,109733.05656,79231.77524,39302.613952,113972.603992,104423.06939,11437.20673,5941.880849,12739.03257,17391.94753,7621.224474,55086.56719,84329.03312,73826.31771,37886.55774,49372.38941,18049.31149,47366.16259,237971.2811,4811.570106,7252.569481,706048.2839,145467.2906,45871.40261,29968.00078,396340.6912,718637.6738,78214.15428,53341.07524,34933.02556,880499.71,88925.41293,17372.18299,21294.07101,67109.09066,62190.39433,7133468.081,606191.8205,6726725.54,85066.87367,912496.5805,26196.56868,34392.8938,6525.850588,53012.57545,15853.07286,16787.16525,9990.284405,15169.945209,17132.83508,14084.028258
"883172.WI",811924.157,2170534.278,234913.032327,111746.445446,109834.17503,122995.77732,177599.98255,61918.04878,110212.1563,54129.84499,99453.65504,52700.26634,109382.0019,126290.0325,457712.182845,59653.59208,20156.60821,161038.04313,442399.02336,342434.70253,248811.81732,264754.1638,385932.71874,288111.17157,208028.10294,103191.53138,299242.37501,274169.46,30029.11914,15600.78892,33447.14632,45663.6727,20010.01321,144633.312,221411.2801,595857.6438,99473.58506,129630.3721,47389.62389,174362.89507,624808.8475,12633.08563,19042.08591,1203549.381,381933.6927,120438.3069,78682.90635,1040617.882,1886829.262,205356.2739,640050.4111,91718.89706,2668989.439,233479.3699,45611.77964,55908.94794,376199.2178,163284.8654,904820.1471,7806.297762,4455174.462,523348.5278,2395818.244,68780.76971,690300.7465,17134.03889,139187.9138,41623.25863,44075.77807,26230.131865,39829.66321,44983.35636,36978.51868
"883175.WI",250823.9033,1977749.54,86279.532838,84410.062834,57148.64406,30236.710988,248230.745505,35163.03409,61617.85996,33574.45915,178990.1171,23649.76606,52765.80236,36747.43813,165410.605637,37399.24964,6392.576321,64219.85031,275236.958578,98642.8467183,91673.95651,188788.2807,268235.214763,135857.35165,190114.8753,48075.815613,152529.681821,247721.290698,38814.74822,6964.43026,50146.0073,4074.120523,7820.221895,10176.98704,10067.44855,246231.2618,77754.04973,45900.83215,11369.85352,75315.62357,205357.2124,10083.22234,9644.080634,2655937.669,1416254.456,165487.3025,314322.9442,100902.1566,159215.2063,270360.4418,586482.7415,19903.72321,207723.8384,158514.3491,35827.64015,142073.3449,704859.8832,191743.648,2795836.496,12642.54792,43822.75431,297886.8903,219188.2481,166731.1296,221591.0441,4416.024164,69922.03389,55947.10169,37532.19634,54397.17988,176581.197831,62697.16307,47909.585536
"883176.WI",16496161.09,62320696.81,3358907.10977,2543176.392,4245460.896,859209.45266,2364975.90296,964361.4934,915923.7818,588912.1356,1121692.472,580259.948,3028012.922,2207644.4202,6618857.8689,8508080.527,281467.0837,2856313.7993,4887925.7462,3646561.8421,1550282.2084,3400899.928,5906782.5428,4518578.0543,7235754.028,1287838.0247,7062988.7934,7905898.6886,527598.4942,165511.5669,31201.64712,35059.26266,6695.655769,78998.27088,73771.39465,4495164.315,711692.8145,1606974.06,900320.6795,1044203.6461,1590874.421,139980.3999,44824.61665,1835902.337,898367.2218,543723.2051,1543163.371,54164.23249,1808198.579,1228372.948,215921.7462,69771.28084,409989.7318,1741014.236,1043087.743,1195056.877,5129902.361,5406315.974,47248805.42,1782069.918,2309839.877,321026.892,18780043.04,1542676.988,2157830.58,42482.38831,825267.8869,1183586.908,169313.4397,233660.54944,773893.54324,85877.76135,360028.4005
"883177.WI",53825.82002,1497656.67,299029.55552,93424.648803,136588.55141,109889.321996,197011.574116,56436.9143,65449.77178,104675.6839,79930.20146,72581.73396,43179.43335,247153.28055,2020846.13071,826070.6212,41692.16464,547777.9239,442718.65069,2470720.50967,508065.1252,371724.4667,1642637.18176,1762461.3885,2533173.124,764582.8007,2489796.0761,6220317.27524,515735.5751,46881.9186,51800.59587,2004.736539,10191.70935,16864.3527,246248.723,632982.8675,963723.8776,15222.1646,47372.69893,38656.62257,427319.2718,8474.326369,7184.693381,1434832.678,0,0,0,113963.9203,38771.01391,45121.31313,3004.929793,43647.78767,7180.107625,0,1210.911454,1821.007761,107303.4214,2948042.536,257157.8019,15623.57473,76240.50239,843.4914601,146037.9952,673434.1244,98040.65983,11191.63069,19574.46664,1062093.641,91269.64436,539.1906324,89660.7792998,0,11096.29046
"883178.WI",2889.465903,1273649.784,332392.417123,160677.839862,262666.94875,119132.70505,250846.47951,98573.45222,355835.511,96510.10777,561072.3782,110765.0037,204490.1164,23291.234178,640403.86841,171682.127,11128.41766,323392.84553,687079.03702,1308884.004448,227729.54835,1227292.316,1497964.18338,859004.57756,455361.4546,578300.5423,886214.89032,1832690.47787,161149.0126,23569.30807,1489294.426,238133.1129,590070.6221,196852.5496,175698.5183,1185389.826,719204.7755,300745.9696,678081.6196,610468.4425,1362788.258,18127.37244,28072.8328,14363748.41,23457683.5,9689645.575,920825.7328,99482.22824,248683.1239,123602.7186,20892.08664,11254.0124,1200.648753,583.0750005,4131.18168,0,273.5526444,7540.223251,631429.7101,1473.455627,115.0595067,372.8562105,2362.859633,1856691.699,21185589.59,81.76207151,15151.69703,2119.811586,871.3438882,336.09276503,140.97410009,1989.94171,42316.05109
"883180.WI",85390.5048,230872.2777,57412.344576,39419.426763,54943.89437,556322.93883,54783.765984,21090.600458,18529.72281,20474.51234,48681.7921,23267.26392,6475.218965,165150.69066,315040.808843,48984.02101,43364.87712,48781.15039,199792.199772,331074.792704,105178.38497,67842.85882,146442.713786,61196.419733,134791.2894,77682.69987,125046.58656,117464.910707,8569.597883,27177.96276,12865.1047,1256.527212,1254.396942,1261.731397,11002.2174,80066.15985,12050.20932,46261.1355,67226.34607,50076.36189,79101.89586,3798.381083,18732.76461,97899.78257,0,0,0,117936.1715,31611.58318,31232.27087,38955.66737,20155.30991,7025.079108,4267.807949,12269.76924,42760.40639,65476.03513,3946.798852,88784.01041,4891.852108,3095.286905,1886.420494,206217.8818,14610.46153,21453.66986,121129.1278,97859.49544,97447.86542,74879.46226,8251.755183,31504.652287,28708.72779,8760.891042
"883181.WI",34853.089,153957.967,17655.0875761,6539.264313,5496.873166,8635.7652363,10313.6708799,3678.374784,4935.94895,2907.053915,4871.942547,5215.390467,3590.723663,4125.9375809,20416.462183,12354.36149,1771.846066,12845.436709,28352.520835,12791.7919,8647.601301,21876.22269,27229.3245863,22132.904603,13593.575434,5990.995675,24164.0428449,18967.6751,5926.811306,1590.40582,0,0,0,0,0,10844.17913,1537.946087,6199.22115,3374.199904,3347.4353954,4451.283833,1342.350458,1548.391011,56700.13123,17007.53524,8331.416968,3154.815555,1197.277829,10399.3601,2062.659887,1324.996701,316.2732329,1721.490694,13982.74372,1214.075014,7639.430372,53952.40896,6686.360467,531382.9485,4054.265926,20464.1955,801.2935074,1053347.741,5749.641273,14320.27145,1199.567303,256591.9807,8799.048697,15345.48715,3307.4699791,31749.7434314,1405.032524,2365.225646
"883182.WI",144628.671,434454.2914,44699.0470955,37067.446683,27250.12573,22139.581881,50000.373414,20585.986003,22138.58981,17214.54746,26071.24263,22835.69455,19771.26133,33790.544678,113980.508387,67347.40826,9459.696317,43923.064065,130380.079078,49840.62198,35802.641231,108120.6476,134831.184704,107825.450466,106447.26228,35206.381514,92511.951955,102702.968016,24357.02615,11213.38421,20586.17016,8267.487098,5149.079291,22352.85076,57659.90661,162690.1867,16371.9597,44763.66501,15318.1767,17546.110091,50277.03673,7665.403485,13871.6314,438847.8079,116643.7039,49543.30334,19334.90169,109646.9,157397.1315,12361.25569,32877.4844,1004.121303,6582.330613,34652.82643,25167.01136,51326.45751,130811.776,52149.40318,2817940.502,31065.50928,132594.8359,3866.01898,140562.2785,208275.3435,127571.6131,21783.48954,80350.1773,2990634.964,476274.0887,34937.89633,45196.987604,33598.81472,15505.726764
"883183.WI",870.0704199,150410.2374,26828.7670654,3843.6129661,5061.04331,10812.5931558,11022.924758,35965.99801,19258.88736,3611.158623,32051.32078,1142.562013,7868.844955,219564.59152,41532.7857124,30300.84662,2971.32298,5243.099638,105567.0618472,120345.242403,44019.42712,109605.1435,178245.101013,108335.21817,107222.1665,45402.774363,116507.642099,53888.2366686,17644.24897,2083.588259,1851.899973,2935.83469,40103.88972,1218.660411,20146.04053,67825.88171,6809.905312,25643.07854,6968.385166,22092.22868,108740.1252,9119.159318,453.2935961,246411.9656,0,0,0,0,88316.00136,5122.258061,1080.709974,47998.74232,542.7375579,2986.089912,4387.851781,7251.792149,530.9372117,322.3722245,127015.8303,4573.21066,31715.21245,62.81131909,2182.712872,5775.598751,8924.396665,942.9427318,5687.009945,72199.32018,945954.3418,34363.515971,17081.9861335,4974.168098,2541.281108
"883185.WI",218988.4619,94287.45541,115725.9315307,30503.4972203,16558.301857,33479.790894,30431.197057,28127.242633,29211.47868,13474.81506,16513.07909,33038.52609,17390.56488,9898.150454,95595.664399,112777.7265,2971.930594,62687.920145,121862.446787,60427.81585,27490.80697,95757.27106,168145.339783,57129.687489,33979.02125,16907.089285,122969.883844,55181.268154,16496.24736,4749.175811,1010.757306,1178.173852,101.8365396,673.9165558,1598.042942,84562.96008,15614.29852,116704.038,18413.69803,19206.803676,215904.4615,4521.700475,14575.25569,177066.1472,217230.6554,182898.3838,39645.91545,51078.54734,350816.3636,6598.027896,12844.2975,2087.870461,3070.974476,87750.52808,17542.77668,65812.91617,472371.5816,6256.668664,389495.7805,36543.71402,38805.55959,353.5632876,201687.7869,112177.2355,101655.5447,8921.246384,56049.86673,658787.4656,223016.8741,140437.451861,36637.341884,51698.82293,19518.577842
"883186.WI",578177.4262,540667.13,185859.394679,134965.124759,68738.011198,121693.948306,258999.587033,74031.02733,93928.71368,58880.82117,61518.56696,96812.864,66473.52385,94258.539284,393159.579823,232555.7254,21868.870741,268268.029387,557423.813368,335693.696329,228755.28162,309041.6102,577120.082391,348070.88022,265201.3343,89486.587047,472925.775108,522766.24901,63380.358435,31839.62564,1136.0680659,2064.4272812,629.4359302,599.50369726,6440.8592188,148424.00328,43783.83136,70871.43616,40235.126391,43742.719675,556109.09595,38459.41339,49229.6641,687418.3985,155903.1121,76371.6678,28919.27216,58623.24848,117760.52089,32753.32166,73976.89591,4207.505952,39327.71111,135686.364122,131582.50683,295910.3059,314575.4057,72379.96336,5001689.7497,49324.50815,957180.3169,26737.781584,349230.75497,59529.096111,160316.740758,19658.8316923,78936.25014,208361.73894,133643.64804,124835.407279,1194361.124212,25186.17326,21681.333085
"883187.WI",21784.57035,30774.21669,6358.235101,2343.5228979,2684.5858023,3545.6339593,6465.1461269,2054.618077,2848.364149,1787.757454,3582.319763,1957.64012,1121.9749,5197.940656,13068.3268539,3211.748052,1270.696784,5913.855034,12815.2498153,16795.575434,6640.769933,7945.355022,13373.4161375,6813.4765315,9029.734799,3931.0991868,9426.713121,12329.0942172,1546.155161,2673.456433,5434.070951,3232.958358,1888.424186,6986.862498,3411.82519,9130.095232,12016.66492,2624.739342,2109.059643,2628.34199,17336.96803,352.2941485,898.422869,31468.92974,0,0,0,4632.235394,8994.798208,7979.911494,1183.711667,410.244295,2102.985227,428.0194954,1670.777984,5166.605628,9818.423381,1708.979075,13939.87981,5285.02223,1997.267536,203.7915854,7094.962361,739.6878419,3867.391372,206.449753,1118.369131,12753.10554,4861.349525,1333.1643477,1506.2379955,1227254.043,0
"883189.WI",75647.18617,29452.11793,261941.94719551,71933.45761205,42607.915032,178695.375936,80630.3684584,90531.0328974,94556.34856,44458.855833,6966821.95155,24849.978181,86659.98221,206468.300075,1128546.09966317,87421.7746434,268572.79832,943955.50658,3026477.02754,25679368.52364,21788798.42775,4317803.2505,1089486.408062,400935.8474,420199.47068,293607.629657,297263.88095969,319344.87017816,62687.69422,25308.567212,1046.9466701,339.747896287,174.09856157,101793.6795091,101807.839866,187351.02813,178896.174682,68541.461221,93256.56818577,167159.53029151,1295030.397,31330.98609,29327.56581,120431.4868,113721.3688,11455.50413,1588.639358,82937.45047,78961.7638,1151.582525,56323.3758,418219.0032,809.7156103,254351.5342,5856.79486,7074.31152,114061.423,1969.206768,23201.65622,36.49576861,14.41179671,61.00883899,21657.71063,1221.969447,44927.09122,6183.209788,36151.61916,38529.82436,34703.42534,1629.0245325,11723.4291703,2208.223264,1979577.50121
