"","883028.WI","883023.WI","883111.WI","883112.WI","883113.WI","883114.WI","883115.WI","883116.WI","883117.WI","883118.WI","883119.WI","883120.WI","883121.WI","883122.WI","883123.WI","883124.WI","883125.WI","883126.WI","883127.WI","883128.WI","883129.WI","883130.WI","883131.WI","883132.WI","883133.WI","883134.WI","883135.WI","883136.WI","883137.WI","883138.WI","883139.WI","883140.WI","883141.WI","883142.WI","883143.WI","883144.WI","883145.WI","883146.WI","883147.WI","883148.WI","883149.WI","883150.WI","883151.WI","883152.WI","883153.WI","883154.WI","883155.WI","883158.WI","883159.WI","883160.WI","883161.WI","883162.WI","883163.WI","883164.WI","883165.WI","883166.WI","883167.WI","883169.WI","883170.WI","883171.WI","883172.WI","883175.WI","883176.WI","883177.WI","883178.WI","883180.WI","883181.WI","883182.WI","883183.WI","883185.WI","883186.WI","883187.WI","883189.WI"
"883145.WI",0,0,0,0,0,0,0,0,0,0,0,0,0,224378023.5866,13764088.67843,7183.696859,38801.32958,73916.9767,729522.536842,166415.53166,266701.02725,209026.7584,131621.2295696,212172.792332,103201.13429,57452.322332,0,0,0,0,0,0,0,0,0,63372.63466,1012993.307,80562.99283,6927.350061,90972.04594,4816480.684,14171021.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"883146.WI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,576250.31194,19598.26657,80.30437446,0,878432.79818684,125001589.248,1844452.870252,1473184.913,112363.503679,68377.425339,20857.277892,2892.613772503,114292.21596884,0,0,4954.396909,0,0,0,0,0,129009.2446,0,15433169.31,79334.24518,129423.7026,413.2511746,81139.78815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28063.97952,6520.794426,0,0,0,0,0,0,0,53127.379915
"883147.WI",0,0,0,0,0,0,0,0,0,0,0,0,0,88070.9462,4751984.09074328,7143.061933,1011.400599,0,1626500.10851615,1912027.7094,49373976.738,690667.9586,104391.744047228,33564.2881432,0,14466.39450266,487998.203342,0,0,6697.966253,0,0,0,0,0,36.38811535,66.93754567,196877.787,2115231.864,48997.867183776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54224.68761,3585.149582,0,0,0,0,0,0,0,13888.338772
"883148.WI",0,0,52809.2515342,58307.28600913,257350.8459177,981.025282784,590.45584626,8428.332098,31281.76501,2274.188894,17066.13938,78.99544282,486357.5352,230.1333384,8738619.81983,40977.36705,2798.046104,30750.651649,33047335.622,743167.40581,161271.965766,112340.5085,34678.14393818,161467.3772851,66105.76393,4793.23223669,447850.736926,0.381297976,0,3397.462613,337.9031934,379.3221338,92.92219238,2592.669701,2014.510939,624612.60477,12749522.849875,184821.68602,167651.70252,817157.63441,178176.57855,498.5098224,213.5747488,3908772.008,3077798.88,611611.1383,154295.1684,9827.099963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,995.4354949,8310.109729,596.9373449,660.9086306,147.1685245,7.907140113,256.1388644,557.4451812,2102.606782,3033.12572
"883149.WI",2025573.982,7668030.297,3816594.9326,1912094.1254,1153127.8004,5909116.3221,2528303.5063,879464.8989,2919560.524,815602.2727,3987424.11,452987.4046,1148815.081,6465142.661,40276516.7321,2858608.885,2224161.245,5378615.704,26532453.8564,24268153.656,22475498.274,14603827.29,7107750.8973,5033161.143,4244423.861,1538428.0396,5948479.6326,5634675.3291,552916.5023,290908.7555,7396877.549,266323.6714,525242.2751,524968.9091,173154.0068,8905198.448,5547195.622,8358668.736,3884726.454,4227027.2606,158927697.1,680702.8699,2680919.943,8978290.159,2991976.903,5577713.778,416150.0284,2400388.815,2174231.212,27794.23129,167779.3444,586091.5232,260238.5042,536530.4592,1596579.723,267891.0119,3004934.061,64214.23965,3036101.974,219300.0979,27255.23933,10475.46535,768847.4111,721181.3131,279261.9885,131559.8451,1224161.329,1237915.491,1288058.358,265133.78435,261979.33,32553.73344,858287.1871
"883150.WI",772004.8975,14108.37165,23462.6791468,7396.934202343,125.3935537,299.10805016,4153.51991597,6628.131658,1063.862731,72.61692739,13956.57176,593.4653084,5135.168218,361015.17165,1237825.5490889,6092.128992,28074.09157,1268.4613379,78600.93586707,303057.734096,9159.399649,214119.8444,473779.6338536,27029.135501,1969.4083904,2650.2993965,27111.2640795,52442.30700123,1345.12648,60901.28442,1292.267323,561.7855068,232.1162444,3355.990412,2334.223916,3752.686409,14003.64113,824.9012619,181.4197487,1884.622818,626334.9645,3243775.833,2862.330867,10532.7184,0,0,0,41501.30202,6533527.256,31385.03891,9552.770555,134418.8209,2942.141385,23142.28759,282093.7584,426834.4703,2889.109502,4482.723371,17592.97803,2047.210266,4022.237672,396.9365749,74083.04598,10796.76283,14815.91419,361.0727676,176442.9798,234842.8168,97577.32951,18011.520656,38112.642564,30607.34785,4920.0839032
"883151.WI",221482.4152,147654.2367,172619.814759,143105.895901,292619.49082,129213.258811,74270.83272,41261.18166,86506.59034,20282.00995,114614.6431,27845.05217,34981.84407,46047.86434,520319.43837,69233.65548,28123.65188,143479.8319,417804.72626,264394.30188,102564.7883,160633.4724,233131.48553,98787.415252,101777.10458,30794.365664,178539.89171,207591.760801,23331.05886,110713.0449,856.560028,12043.41686,290.6796841,2594.360738,17984.28226,107429.1909,24599.18904,128593.7106,33790.75332,71066.15499,722306.5221,9532.246074,744592.3072,644979.9984,186649.8518,95516.28981,78818.11997,29063.93872,80720.33187,3690.686684,7750.030343,3595.974748,5533.531491,64473.55704,291371.5131,135330.6684,25062.08456,5209.914472,188498.5907,24483.38973,44463.90109,578.538793,29628.76867,92971.01546,17934.12818,11290.64189,116925.4426,228814.6755,162270.6649,22590.451854,18734.730319,13328.35513,68389.026205
"883152.WI",1506321.325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24147.12918,8478.030757,1093.330663,8146.29659,17289.58892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"883153.WI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9092.247801,3192.278301,411.6776469,3067.36866,6510.141461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"883154.WI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211493.7875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"883155.WI",8547235.266,1861198.587,300916.08567,215232.05821,205779.49359,173726.38219,344558.29748,139919.68476,189451.2993,125100.6121,199785.4629,107481.0887,211280.5425,525533.49259,940160.02945,153942.0478,46289.74906,272807.31509,900479.69606,669684.538516,366378.1481,695986.049,742504.82184,395613.36335,475249.9265,352629.26352,611078.25889,1199777.43474,83507.61822,60986.27434,0,0,0,0,0,580945.131,196308.7216,104483.4296,147483.2253,224805.60712,1947866.051,44917.62736,113387.9248,19784777.38,12336288.5,2437271.063,2792803.622,961629.2362,2333441.936,4136.338587,141238.2514,59583.67005,91374.73633,750209.7055,439443.4677,475004.1945,1056804.851,38753.91433,4891867.366,85675.57272,93748.07771,22919.38423,705455.8292,440354.4828,326833.4148,183523.5676,934892.6365,1123418.453,476090.128,318079.2252,336644.69165,145199.2295,98955.02097
"883158.WI",143513.6965,2889589.224,2474919.37918,861294.91397,320743.5828,398322.0864,312291.02724,231867.50626,328765.1571,76921.35559,278281.2439,67403.31803,162261.9492,745013.4093,2545843.95638,715992.9804,155959.7249,338703.0129,1662263.18911,3564621.035,958586.949,725389.0615,844379.28638,661614.07335,536387.1267,220231.03632,797789.12353,592131.37991,145511.2456,64650.84475,569824.802,82760.30259,569846.4511,104329.612,118852.3604,1506905.339,156101.2566,806770.0705,178407.0997,245211.05466,1161095.252,35804.59006,7766.638359,960919.9351,457203.6607,219613.5097,132681.2343,422397.0953,124960.6293,23238.71677,58307.60352,35037.88715,2314215.991,793377.2865,32762.18621,408779.8308,69502.6336,87966.31297,690355.6946,18938.49722,52684.20953,59011.14704,1478380.805,215806.8181,357206.6685,34348.68965,164213.322,599110.9655,169794.8212,134532.143571,132298.683993,34442.50739,54988.82386
"883159.WI",583178.681,8093302.276,8568310.254,3870136.4362,3122191.777,3073713.4343,3344804.1666,1830663.3272,3001573.174,1058269.318,2884528.228,1114398.214,1393448.873,2088184.9324,11765652.5038,2855134.806,788431.9406,5072863.188,12022410.8771,9307790.5274,3404297.761,5856057.077,7062348.1574,5618112.686,8407268.097,1807633.1514,7808163.8566,4980253.6626,733014.5719,473896.9969,1892501.747,335511.9069,1616965.616,673101.0951,660169.7467,2276503.785,451816.0156,1160177.635,698222.0858,1574945.5272,3260667.894,123548.4426,143740.4527,16261895.03,13352197.09,3092033.094,1785275.148,250916.2376,19460319.03,207749.533,334510.4995,76128.55131,3249565.196,2590231.499,581402.5052,2185246.727,487192.3895,569501.7156,2908364.555,79666.13572,207877.8834,191925.285,7436454.816,722443.217,1579506.755,130914.8968,901318.5254,1121413.617,1965201.877,547602.69208,469884.3073,115579.6144,672975.0662
"883160.WI",78944.24787,3133884.389,1563013.97737,417854.21066,159127.63222,461837.3347,441445.84997,220615.12278,173097.1239,93488.19584,226087.5636,49184.0699,196373.7948,654332.2773,1548888.72224,302532.8236,112933.3628,454216.0647,1337353.71288,2243482.7552,327966.3204,789746.764,1311072.22677,627982.16047,1454447.2341,368805.92972,983498.72661,927263.30391,62150.21445,49586.68116,270585.8385,37321.56116,365124.2871,179116.4237,98989.39759,471492.529,76835.42876,793762.5148,46394.91625,180236.30041,886633.8333,92275.25253,3633.137047,954875.4443,355590.3416,92251.81441,156891.6555,25877.07168,311913.4448,3458868.283,40652.84721,25089.30629,648373.8712,778791.8788,26523.79281,281529.5272,26233.38264,44612.46727,58553.26135,3505.180475,6081.57297,44959.48339,1041095.14,58537.6148,240400.819,29316.4306,196256.2987,57069.50234,110370.7537,25642.581799,32023.883665,14217.36129,79875.22599
"883161.WI",1147435.582,2200105.709,213830.304375,166333.45188,95169.94967,183777.91288,317699.95777,133549.27179,108268.9173,72619.03821,108153.4981,110756.4534,195833.973,79748.41247,589384.92234,800869.889,34793.51615,342943.28651,545173.19211,256493.94681,171741.99386,542961.4108,1115528.77972,848751.63993,1056987.8076,172978.71786,879718.10851,2621778.4392,296717.03,33106.29033,33863.71455,33323.07631,6937.193264,27361.22726,83130.22773,144430.8563,46083.75779,85744.28261,51392.13668,33872.33592,248614.5238,19320.43739,21728.10189,1268544.427,603836.9528,278197.4784,102658.0913,16294.69654,244713.6688,22029.69852,6909319.364,72136.88147,1860638.612,496997.891,72386.30233,96239.45076,219309.2602,761449.2776,2271554.264,122723.7915,182117.7354,169243.8263,4669374.232,564839.4883,1293292.908,62633.46991,108492.1619,3134601.866,362653.1163,147718.001797,625510.55967,190381.2261,54093.78502
"883162.WI",104318.5967,12550.45546,5896.1595969,2572.5160998,2681.6343043,1446.5556482,3046.7091791,2040.2549961,3743.852258,1251.772147,3612.186493,874.0900353,3199.096615,2464661.78774,597466.443025,3103.304777,25697.19294,11180.995023,97225.836739,58864.983851,39176.472039,59748.29065,75275.4526201,12329.201837,8920.980689,4885.775058,12703.0997393,14489.0355379,1848.043335,12687.76565,53643.00667,4787.544197,4663.54497,9939.461673,5662.635169,47561.5796,86599.64207,57666.4208,22196.71165,23491.626892,290322.72,601723.4274,2634.753921,26399.49534,50616.8268,3366.334558,4435.444683,22808.9788,1086090.411,63151.45081,66249.35595,106001.2173,66022.83392,6758.688813,40390.65522,56132.15139,2303.640816,1017.462065,13506.19737,862.9033513,1183.773621,10336.44699,101481.8604,2578.643377,29770.51322,516.1146892,26846.73623,38344.64817,14722.28802,2882.75656,5578.4999328,4423.666165,2245.7016218
"883163.WI",38627.73598,1830374.261,2088479.09856,557606.40502,455827.4748,682143.28587,765561.07936,331455.2177,595326.3497,265233.7331,440533.9801,154706.9462,279546.7246,555841.8246,1831460.12881,408063.0769,84894.06443,558453.2676,1650061.19579,1556961.8889,543361.6791,677399.0392,1057978.91651,748762.50413,3680757.552,272648.3702,1221764.50989,805291.97565,103870.0199,89361.74889,582037.2227,34247.04895,443243.1987,105853.0298,58878.93547,449286.7335,48869.97173,232621.9746,108810.0716,217435.93807,470498.1382,22117.40823,8030.263739,909963.3326,276763.9504,1564198.564,376844.9145,248351.4254,12682235.22,3641241.092,987776.8913,6492.731265,555741.5157,1039708.143,80317.10666,385868.1804,68367.96773,60259.29397,77492.42263,5015.150948,7964.465917,20489.35158,1105840.824,98350.09351,206742.3662,24068.25237,115691.0603,56601.84721,241064.5941,20060.898935,39164.827249,11201.65531,120134.16901
"883164.WI",154118.5187,5948725.135,1060461.05664,474124.60844,238387.41496,149594.49407,368065.560283,109087.20413,104002.7242,97847.79023,289420.1996,66191.54666,110477.4463,469019.14154,976084.71524,284838.9626,50795.32553,340623.4021,1255174.73225,780795.91908,327814.1077,835914.9067,523509.864995,357836.21977,757937.22464,81041.74989,891323.44758,430733.976935,47131.86337,21608.83942,943241.5799,67129.10852,25661.87941,251541.9546,16845.45371,149887.031,1065.005367,154787.496,33287.52976,42542.522549,20544.88716,4852.004947,10277.97627,1603.003681,6469.554922,160.1073341,14003.78023,1070416.501,13430272.16,3071584.763,254244.5935,30120.18817,258700.1311,1489580.932,2563.868154,3659.819,170222.4822,149884.934,53654.48119,10067.48771,29381.85553,102520.998,728473.9841,26163.26964,476757.5802,820.8136599,78324.34,41752.19122,17253.298,423407.6262,7919.0954614,7732.251284,31744.124777
"883165.WI",845979.5979,1483790.863,412199.193853,288922.53532,179877.66859,141303.936597,194830.53845,77190.18423,122572.8314,55227.28795,73028.57882,83656.01007,74458.72018,118436.06161,634419.88365,462892.9839,58421.83057,232429.11611,542101.42054,264157.09257,165455.49251,388642.5908,680770.80068,716963.56297,342148.4966,158309.81085,707545.23513,602607.14826,162870.7294,33117.99112,15183.92975,20018.77199,2356.076154,27648.88986,76282.32309,247004.8366,79803.50937,175048.9939,68171.91581,95535.3645,405792.6109,30290.25007,21486.3792,999229.8384,604460.6278,210329.3909,73990.01037,40978.85895,376048.3533,30927.23839,238135.4591,36991.16422,26545.24578,195081.7277,25668.96262,94290.91182,281086.5103,356031.3683,5703065.346,397731.6038,3078201.309,64015.45698,4011512.5,619733.3306,1056831.553,48255.45739,83661.64327,1420321.216,402785.1924,208879.0917,417431.5373,258401.4415,50508.00059
"883166.WI",1118980.52,2412122.506,926593.5135,627857.61222,404968.4731,372707.48113,508516.97668,221157.5248,324094.3667,219800.2661,305776.4168,321853.5535,222611.2929,221534.24576,1711345.78714,1711269.84,117867.3075,694212.8429,1916992.297,741156.23459,522327.9502,1337830.048,1781604.87358,1617683.683,1123994.8408,354116.65924,1743241.34774,1319234.52344,398942.2501,89787.15995,42834.75694,117450.2692,13234.89661,81063.98852,396608.9942,587772.5384,93877.18604,381524.176,188230.5516,229908.98487,437170.2024,68836.89682,76311.78218,3292573.623,892795.4677,415570.2003,178864.7247,67082.58011,5672197.645,93429.01346,592891.7301,17728.37126,98937.90808,598572.7541,62694.06724,236743.6179,611230.9606,398989.0199,8206264.21,551634.8717,2650785.247,69915.1439,9148894.747,1158216.695,2990426.885,87284.88317,244249.4212,2688695.395,648153.5783,311602.9349,659626.53803,85678.12393,134679.79368
"883167.WI",1719160.208,1859026.928,319038.244465,181902.6215,140607.83657,185430.37612,276113.64887,119759.63924,144607.3842,69905.4996,120402.8636,109709.3,135488.6759,71368.59724,689926.84465,360656.4263,36253.12246,254996.47502,632148.00594,248992.9358,191219.23615,511174.6493,846460.55124,581419.59016,341624.2952,93932.50605,680068.96899,989103.46424,142549.5389,24998.42116,137778.155,71408.58871,26680.69016,199730.8323,441412.3686,138373.2902,107127.8639,269112.2731,54241.54212,71981.23483,785487.3013,37151.20532,45410.29472,14876978,326318.4188,174082.5347,64466.05306,1162448.926,623501.3519,1962660.834,321102.3529,4333.311122,57961.74293,625807.253,772550.461,176726.3482,16295535.92,8522043.377,8807036.039,473659.5148,2100450.499,42967.80704,1095362.958,143458.0052,323523.2274,23961.57828,79708.16542,2970540.682,2643111.361,101041.37484,299897.48854,244789.1792,57074.29699
"883169.WI",36010.97359,379726.0115,96443.2440931,18912.870028,29079.16611,86760.370893,219469.406212,75766.80849,68886.91704,45758.59409,18628.03259,65321.06139,52059.33168,52504.5881993,64082.5786853,20254.21834,5622.126251,91430.47911,346975.83598,294459.018926,11886.4619,195344.1184,315937.062842,184464.14599,60475.825133,25143.474602,128370.839721,2672463.612898,38058.84754,14116.82027,157.8313106,501.8762906,84.49217248,14.28247813,1545.401816,97755.44256,2837.576932,33612.70659,48939.91683,93750.93009,705466.2802,7211.840794,101759.4277,100888.7633,4441.807383,4349.659745,4038.86162,6817.509888,8901.682559,64538.45608,155710.7125,277.9148098,3301.417156,12850.33872,15764.4448,6303.886568,867955.6738,5344051.936,4025987.891,163938.6779,187253.003,1232.527835,630359.414,83956.75411,12713.72401,4401.536464,329491.5351,128688.1562,55404.47264,211932.84019857,12356.5558057,1077.477582,17113.196342
"883170.WI",43169566.1,25852538.34,4927724.6493,1690453.1463,2156148.186,2805899.8329,2640787.2909,1072732.4861,2025267.236,845260.9709,3106673.032,1071016.933,1038702.472,4405290.149,13259574.2419,3496306.896,1412663.834,3971384.688,10857999.3157,19331812.3868,12032109.034,6180376.506,7333692.2734,6408747.4968,5861359.65,3138624.285,8285333.6109,16412727.0715,1329248.496,633070.7117,6847484.103,379891.9869,1650539.429,1346341.333,182162.0864,9934173.597,1814070.913,2023568.761,1586569.809,1806187.2647,22476498.83,1388665.758,1187572.674,22804216.73,11683169.85,416102.5992,945611.902,4273650.346,26861541.82,5593327.748,2081639.819,537496.9493,468000.4922,2403824.025,1773637.504,1321952.006,4277034.179,5047109.986,9412756.669,426583.1667,6811240.206,2140034.531,17340999.43,117178.1327,4613302.737,326010.9075,2865668.116,7852632.628,2764175.43,307441.50343,1013058.6637,153247.6669,677223.6467
