,01001,02002,03003,04004,05005,06006,07007,08008,09009,10010,11011,13012,13013,13014,13015,13016,13017,13018,14019,14020,14021,14022,15023,15024,16025,17026,17027,17028,17029,17030,18031,19032,19033,20034,21035,22036,23037,24038,25039,25040,26041,26042,26043,26044,26045,26046,26047,27048,28049,29050,29051,30052,30053,30054,30055,30056,30057,30058,31059,31060,31061,32062,32063,33064,34065,34066,34067,34068,34069,34070,35071,35072,35073,35074,36075,36076,37077,37078,37079,38080,38081,38082,38083,38084,38085,39086,39087,39088,39089,39090,39091,40092,41093,42094,43095,44096,45097,46098,47099,48100,49101,50102,51103,53104,54105,55106,56107,57108,58109,59110,60111,61112,62113,63114,65115,66116,67117,68118,70119,71120,72121,73122,74123,75124,76125,77126,78127,79128,80129,82130,83131,84132,85133,86134,87135,88136,89137,93138,90139
01001,49655846.35,329054.5122,27705438.74,2556357.728,2794168.79,0,0,0,0,0.004608249,0,63821535.18,32200535.55,37747760.32,5503712.011,1491938.224,50238.95959,31339792.58,1406183.421,422031.4207,4900298.609,10044304.48,10054235.03,5746777.17,4879901.413,37719205.35,317924.4534,2845879.028,119415.0895,135473.4125,548988.5895,69892.18023,58088.80769,2609466.696,189738.896,6323829.877,0,776870.4555,0,0,1184718.465,597135.0647,240636.1173,134287.7895,82752.62446,1114969.523,448325.3427,14132835.87,312967.5242,133959.8772,9315.514963,12.86655062,261.6769054,0,185.5347789,3832.185852,876.4292338,1096.631682,0,1288.621537,1708.064876,1391.547115,4193.856064,36194.11353,0,0,0,0,0,23.29050099,3.229780337,0,38832.20271,41964.90118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313518.3825,6423.928812,0,40422.99089,108.3826278,332.8805809,2594184.781,745491.2886,14548.21103,294470.5531,57435.41616,25668.32731,0,468.4399036,0,0,329.5438222,7887467.241,0,45519.91783,3722546.015,517725.1961,0,0,0,0,88095.25754,4442.838774,2406929.35,505397.0375,6264.604112,65164.87735,35925.6352,40599.54532,4130136.111,517116.523,23180.99207,245489.8709,541039.5577,67672.55813,7460.113422,926.254422,38264.73504,7877.744627,2813.283646,4006.85275,0
02002,8804.252892,2768413.382,3605.811663,61304.14554,91611.17998,154356.6029,4046.78863,26147.2367,17806.24218,22698.03985,24975.29885,852.7239854,583.7144498,10384.16303,282.5391992,1807.390168,1526.154954,102916.8439,2749.285745,28560.7233,773.8793491,46316.84455,4868.02659,131312.7855,4214.178962,38616.41964,142.1404047,6190.158797,3177.380562,909.2371014,5954.238674,5679.646465,197962.5289,16702834.71,1515952.886,3490414.367,0,711169.7299,13488.37215,5096.914877,13811.89035,23042.31225,437.3537434,1110.534205,15445.66555,3586331.719,43656.9761,111147.4593,39932.78619,6620953.027,13677.22377,12082.0251,41744.26092,37306.87455,3001.00559,2107.931016,2120.533726,4943.226802,14544.20009,17903.71759,1459.061483,11744.33915,13009.91897,117928.1985,2595.131764,3762.2832,926.2130583,11680.01313,181.265058,4761.524646,2770.693067,1781.194207,427.5452109,1183.505149,6017.530728,8716.862369,905.0175438,3479.273074,1586.038368,1134.280699,9007.618579,4250.229644,1505.346682,2368.636902,954.5105601,0,0,0,0,0,0,0,67866.69236,741.5572784,0,8099.926434,505.3073358,7243.031137,6203416.189,722151.1309,17196.934,339202.2908,20474.95102,12986.65612,3438.195554,1901.331932,5342.42685,124.9272109,492.1565699,6234.29639,0,29845.80237,28625.33626,325.0853265,1582.412868,3300.915411,641.8551923,2497.852499,5341.977287,122.4219063,1266.465956,287.0666218,1189.768719,111.9428913,293.2190606,12821.06941,8241.857543,8618.265785,20323.45716,0,0,479.1478486,180.7892084,290.4786055,77.13922898,1208.336642,332.6347097,0,0
03003,90131.54564,33294.0993,21543221.58,75154.71397,1148693.717,0,0,0,0,0,0,0,2484557.038,0,0,59413185.77,2517.680943,3013329.548,30470.12128,9942037.573,76125.91117,4997343.366,21117.64831,367217.8434,0,2147.933446,8286246.685,1800849.448,170462.988,106882.4879,347498.8872,5720736.641,197201.0484,0,0,0,0,1294232.906,0,0,38723.95134,1052004.259,6482.656455,89795.36976,26033.66493,873867.2117,5795.085949,13110210.97,41948.58442,0,0,8251.158389,8759.26559,8947.840822,4365.603578,14629.1159,3780.591761,3596.061283,6883.95673,32052.782,6007.656087,56.83278079,0,0,1755.860951,2713.906346,2491.547388,4321.40939,0,9788.183171,982.3798331,364.9042241,215.6866768,832.0799462,3437.582801,2741.249289,320.7258087,1096.985213,1002.040398,105.188753,57.32928259,53.17968405,59.72689511,0,66.35259773,0,0,0,0,0,0,0,921396.4674,2500.278238,0,0,0,0,0,0,0,0,34315.81752,831.0425667,0,341.8512315,0,0,0,0,0,5845.571092,9773254.598,0,0,0,0,0,0,6513.758078,0,501807.6441,0,0,0,10.47962968,0,114050.9193,0,712890.6662,11204.48949,0,0,507.4525795,3830.363031,664.881294,19823.76838,0,0
04004,88.73246136,270.3032322,2335.773867,3565838.672,258478.0639,0,0,0,0,0,0,0,4638148.739,0,0,43287.66778,21524780.76,468151.1358,3645.856587,67939.1857,14699.65336,914938.2661,114856.339,138372.4479,0,0,0,0,0,0,0,256665.3867,0,0,0,0,0,151033.8315,0,0,31827.42834,8196.820716,3387.928323,0,0,0,2536.257332,31279.77676,0,5904.217586,0,2782.96265,2844.342135,2754.344168,1344.354179,808.6646696,1351.457177,1273.964176,1464.978791,8303.259531,1057.669237,0,0,0,332.1426241,422.9341924,321.5681557,1183.760652,0,888.5378412,0,0,0,1330.631904,792.9391524,716.5141135,208.6857349,375.3906925,376.3168622,0,0,0,0,0,0,0,0,0,0,0,0,0,52.26185105,770.0693615,0,0,0,0,0,0,0,0,28952.72998,3080.652613,0,1442.122873,0,0,0,0,0,172037.528,12087629.22,0,0,0,0,0,0,0,0,1019173.172,0,0,0,0,0,0,0,231344.3199,25689.68219,0,0,0,0,0,136108.4908,0,0
05005,4325208.749,1696280.005,317638.9451,2397351.063,1777012.607,0,0,0,0,0,0,0,191608.1077,0,0,0,0,0,0,0,0,0,0,0,0,11244520.26,4346.180543,1314462.984,427801.2627,291.4995272,58112.83572,793674.2741,685411.8476,2762.050459,0,150742.6723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06006,16856.65905,10337.88694,7819.288758,11600.11665,7517.928828,35955974.04,315733.6545,474868.5294,273623.1987,437077.0565,212257.9789,107421.0546,215929.9219,100787.3085,66508.975,95583.70497,52932.49805,198547.6598,48156.53823,63325.96522,91970.26847,166560.0733,398610.584,154808.9273,77980.43839,857416.2351,109050.8554,84258.22279,60576.36847,53221.2211,199789.5898,129314.7866,102245.0614,496057.2731,27089.59423,2481881.136,84952.9641,169932.3247,1385789.09,21578919.13,10242607.01,3658732.896,142313.8352,311650.4732,1158365.163,3065509.681,78777.21355,351037.9584,1284573.484,452930.3709,938485.3899,8161952.03,1923061.6,7861548.327,1763440.716,637859.045,1317837.874,2022720.228,6513948.962,19097230.6,296635.0579,2793188.939,634491.4796,1357417.612,273531.1957,95065.25419,22623.43682,53153.3496,19942.69202,282923.8194,156542.3812,197910.1686,64923.77535,340099.7775,133756.8118,56681.40619,68071.98416,17938.19543,53864.11629,16622.73949,34521.04885,48412.8044,66466.72256,20639.12931,30787.77362,0,0,0,0,0,0,0,799051.2663,97913.13751,38094.42635,88525033.92,2047976.713,20559.13917,157779.6301,162551.3747,23112.26092,22086.6586,3999.121276,265394.7663,242512.9476,14681.51632,27464.90677,0,0,0,19763.40819,14669.31138,20586.22002,0,0,0,0,0,30240.25226,9548.3691,26.07508503,27466.53692,28787.6827,72236.38171,50031.19933,86020.5357,34662.11819,165469.8092,14059.67549,291168.5952,325009.4332,12282.41623,31800.02787,729.2950126,23239.74591,5933.781301,2648.549322,3087.31953,306445.3065
07007,0,0,0,0,0,63372.63466,1012993.307,80562.99283,6927.350061,56230.29846,34741.74748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223680389.3,697634.2866,9507083.258,1120691.919,475575.5905,361797.528,1704764.43,565172.0839,29003.86903,7183.696859,38801.32958,36477.88293,37439.09377,4096.530842,25995.15672,135909.2097,287313.2728,85680.16716,93827.16925,96701.03037,58537.82724,85998.48346,21879.22096,180632.7773,86068.24995,209026.7584,50527.67612,15730.77827,3801.840297,12590.11947,598.8590926,48371.95632,146793.5675,40549.67777,5420.351172,19409.19589,39955.14998,63245.98431,12581.01333,9806.735112,35064.57389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4816480.684,14171021.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08008,0,0,0,0,0,129009.2446,0,15433169.31,79334.24518,129423.7026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,547081.2831,0,0,0,0,0,29169.02884,19598.26657,80.30437446,0,0,660459.9656,5042.385444,86091.95214,2374.792942,12.57312084,61586.01599,62865.11295,33862346.04,85054816.42,6084426.788,1842789.227,1663.643252,1473184.913,33524.852,16341.77928,0,61062.8551,0,1434.017299,1922.466919,0,0,66454.95842,7269.453682,13587.82421,2889.357283,0,3.256489503,59.86032884,11345.28064,0,19460.93749,21978.82534,61447.31217,0,0,0,0,0,0,0,4954.396909,50730.75238,2396.627535,413.2511746,81139.78815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28063.97952,6520.794426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09009,0,0,0,0,0,36.38811535,66.93754567,196877.787,2115231.864,48997.77561,0.091573776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88070.9462,0,3673225.628,36165.81592,51.2155344,141979.0531,11.27022388,898478.0494,2073.058565,7143.061933,1011.400599,0,0,29670.47053,81.15910615,191070.3459,53822.88077,48780.67901,1084460.32,218614.2532,113316.6603,128979.5011,1669731.548,47628820.01,1745156.728,690667.9586,42049.47993,802.1673752,1.249532028,38080.08966,0,23458.75755,5226.19705,3895.381135,108.1123882,24334.59757,0,0,138.4188751,14292.39454,35.58108756,4190.778852,5615.08791,59766.6723,391908.3875,26517.27678,0,0,0,0,0,0,0,0,6697.966253,7413.916169,6474.422603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54224.68761,3585.149582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
